TIME,TEMP_OB,TEMP_LOZ,REL_OB,REL_LOZ
Sun Apr  3 01:32:52 2022,17.8,15.5,True,True
Sun Apr  3 01:33:22 2022,17.8,15.6,False,True
Sun Apr  3 01:33:52 2022,17.8,15.6,False,True
Sun Apr  3 01:34:22 2022,17.8,15.7,False,True
Sun Apr  3 01:34:52 2022,17.8,15.8,False,True
Sun Apr  3 01:35:22 2022,17.9,15.8,False,True
Sun Apr  3 01:35:52 2022,17.9,15.9,False,True
Sun Apr  3 01:36:22 2022,17.9,15.9,False,True
Sun Apr  3 01:36:52 2022,17.9,16.0,False,True
Sun Apr  3 01:37:22 2022,17.9,16.0,False,True
Sun Apr  3 01:37:52 2022,17.9,16.0,False,True
Sun Apr  3 01:38:22 2022,18.0,16.0,False,True
Sun Apr  3 01:38:52 2022,18.0,16.0,False,True
Sun Apr  3 01:39:22 2022,18.0,16.0,False,True
Sun Apr  3 01:39:52 2022,18.0,16.0,False,True
Sun Apr  3 01:40:22 2022,18.0,16.0,False,True
Sun Apr  3 01:40:52 2022,18.1,15.9,False,True
Sun Apr  3 01:41:22 2022,18.1,15.9,False,True
Sun Apr  3 01:41:52 2022,18.1,15.8,False,True
Sun Apr  3 01:42:22 2022,18.1,15.8,False,True
Sun Apr  3 01:42:52 2022,18.1,15.8,False,True
Sun Apr  3 01:43:22 2022,18.1,15.7,False,True
Sun Apr  3 01:43:52 2022,18.1,15.7,False,True
Sun Apr  3 01:44:22 2022,18.2,15.6,False,True
Sun Apr  3 01:44:52 2022,18.2,15.6,False,True
Sun Apr  3 01:45:22 2022,18.2,15.5,False,True
Sun Apr  3 01:45:52 2022,18.2,15.5,False,True
Sun Apr  3 01:46:22 2022,18.2,15.4,False,True
Sun Apr  3 01:46:52 2022,18.3,15.4,False,True
Sun Apr  3 01:47:22 2022,18.3,15.3,False,True
Sun Apr  3 01:47:52 2022,18.3,15.2,False,True
Sun Apr  3 01:48:22 2022,18.3,15.2,False,True
Sun Apr  3 01:48:52 2022,18.3,15.2,False,True
Sun Apr  3 01:49:22 2022,18.3,15.1,False,True
Sun Apr  3 01:49:52 2022,18.3,15.0,False,True
Sun Apr  3 01:50:22 2022,18.3,15.0,False,True
Sun Apr  3 01:50:52 2022,18.3,14.9,False,True
Sun Apr  3 01:51:22 2022,18.3,14.9,False,True
Sun Apr  3 01:51:52 2022,18.4,14.9,False,True
Sun Apr  3 01:52:22 2022,18.4,14.8,False,True
