TIME,TEMP_OB,TEMP_LOZ,REL_OB,REL_LOZ
Sat Apr 16 19:17:23 2022,11.7,23.9,True,False
Sat Apr 16 19:17:53 2022,11.7,24.0,True,False
Sat Apr 16 19:18:23 2022,11.7,24.0,True,False
Sat Apr 16 19:18:53 2022,11.7,24.0,True,False
Sat Apr 16 19:19:23 2022,11.7,24.0,True,False
Sat Apr 16 19:19:53 2022,11.7,24.1,True,False
Sat Apr 16 19:20:23 2022,11.7,24.1,True,False
Sat Apr 16 19:20:53 2022,11.7,24.1,True,False
Sat Apr 16 19:21:23 2022,11.7,24.1,True,False
Sat Apr 16 19:21:53 2022,11.7,24.1,True,False
Sat Apr 16 19:22:23 2022,11.7,24.2,True,False
Sat Apr 16 19:22:53 2022,11.7,24.2,True,False
Sat Apr 16 19:23:23 2022,11.7,24.2,True,False
Sat Apr 16 19:23:53 2022,11.7,24.2,True,False
Sat Apr 16 19:24:23 2022,11.7,24.2,True,False
Sat Apr 16 19:24:53 2022,11.7,24.3,True,False
Sat Apr 16 19:25:23 2022,11.6,24.3,True,False
Sat Apr 16 19:25:53 2022,11.7,24.3,True,False
Sat Apr 16 19:26:23 2022,11.7,24.4,True,False
Sat Apr 16 19:26:53 2022,11.7,24.4,True,False
Sat Apr 16 19:27:23 2022,11.6,24.4,True,False
Sat Apr 16 19:27:53 2022,11.7,24.4,True,False
Sat Apr 16 19:28:23 2022,11.6,24.4,True,False
Sat Apr 16 19:28:53 2022,11.6,24.5,True,False
Sat Apr 16 19:29:23 2022,11.6,24.5,True,False
Sat Apr 16 19:29:53 2022,11.6,24.5,True,False
Sat Apr 16 19:30:23 2022,11.6,24.5,True,False
Sat Apr 16 19:30:53 2022,11.6,24.6,True,False
Sat Apr 16 19:31:23 2022,11.6,24.6,True,False
Sat Apr 16 19:31:53 2022,11.6,24.6,True,False
Sat Apr 16 19:32:23 2022,11.6,24.6,True,False
Sat Apr 16 19:32:53 2022,11.6,24.6,True,False
Sat Apr 16 19:33:23 2022,11.5,24.6,True,False
Sat Apr 16 19:33:53 2022,11.5,24.7,True,False
Sat Apr 16 19:34:23 2022,11.5,24.7,True,False
Sat Apr 16 19:34:53 2022,11.5,24.7,True,False
Sat Apr 16 19:35:23 2022,11.5,24.7,True,False
Sat Apr 16 19:35:53 2022,11.5,24.7,True,False
Sat Apr 16 19:36:23 2022,11.5,24.8,True,False
Sat Apr 16 19:36:53 2022,11.5,24.8,True,False
Sat Apr 16 19:37:23 2022,11.5,24.8,True,False
Sat Apr 16 19:37:53 2022,11.5,24.8,True,False
Sat Apr 16 19:38:23 2022,11.5,24.9,True,False
Sat Apr 16 19:38:53 2022,11.5,24.9,True,False
Sat Apr 16 19:39:23 2022,11.4,24.9,True,False
Sat Apr 16 19:39:53 2022,11.5,24.9,True,False
Sat Apr 16 19:40:23 2022,11.5,24.9,True,False
Sat Apr 16 19:40:53 2022,11.5,24.9,True,False
Sat Apr 16 19:41:23 2022,11.5,25.0,True,False
Sat Apr 16 19:41:53 2022,11.5,25.0,True,False
Sat Apr 16 19:42:23 2022,11.4,25.0,True,False
Sat Apr 16 19:42:53 2022,11.4,25.0,True,False
Sat Apr 16 19:43:23 2022,11.4,25.0,True,False
Sat Apr 16 19:43:53 2022,11.4,25.0,True,False
Sat Apr 16 19:44:23 2022,11.4,25.1,True,False
Sat Apr 16 19:44:53 2022,11.4,25.1,True,False
Sat Apr 16 19:45:23 2022,11.4,25.1,True,False
Sat Apr 16 19:45:53 2022,11.3,25.1,True,False
Sat Apr 16 19:46:23 2022,11.3,25.1,True,False
Sat Apr 16 19:46:53 2022,11.3,25.1,True,False
Sat Apr 16 19:47:23 2022,11.3,25.2,True,False
Sat Apr 16 19:47:53 2022,11.3,25.2,True,False
Sat Apr 16 19:48:23 2022,11.3,25.2,True,False
Sat Apr 16 19:48:53 2022,11.4,25.2,True,False
Sat Apr 16 19:49:23 2022,11.3,25.2,True,False
Sat Apr 16 19:49:53 2022,11.3,25.2,True,False
Sat Apr 16 19:50:23 2022,11.3,25.2,True,False
Sat Apr 16 19:50:53 2022,11.3,25.3,True,False
Sat Apr 16 19:51:23 2022,11.3,25.3,True,False
Sat Apr 16 19:51:53 2022,11.3,25.3,True,False
Sat Apr 16 19:52:23 2022,11.2,25.3,True,False
Sat Apr 16 19:52:53 2022,11.3,25.3,True,False
Sat Apr 16 19:53:23 2022,11.3,25.3,True,False
Sat Apr 16 19:53:53 2022,11.3,25.4,True,False
Sat Apr 16 19:54:23 2022,11.2,25.4,True,False
Sat Apr 16 19:54:53 2022,11.2,25.4,True,False
Sat Apr 16 19:55:23 2022,11.2,25.4,True,False
Sat Apr 16 19:55:53 2022,11.2,25.4,True,False
Sat Apr 16 19:56:23 2022,11.2,25.4,True,False
Sat Apr 16 19:56:53 2022,11.2,25.5,True,False
Sat Apr 16 19:57:23 2022,11.2,25.5,True,False
Sat Apr 16 19:57:53 2022,11.2,25.5,True,False
Sat Apr 16 19:58:23 2022,11.2,25.5,True,False
Sat Apr 16 19:58:53 2022,11.2,25.5,True,False
Sat Apr 16 19:59:23 2022,11.2,25.5,True,False
Sat Apr 16 19:59:53 2022,11.2,25.5,True,False
Sat Apr 16 20:00:23 2022,11.2,25.5,True,False
Sat Apr 16 20:00:53 2022,11.2,25.5,True,False
Sat Apr 16 20:01:23 2022,11.2,25.5,True,False
Sat Apr 16 20:01:53 2022,11.2,25.6,True,False
Sat Apr 16 20:02:23 2022,11.2,25.6,True,False
Sat Apr 16 20:02:53 2022,11.2,25.6,True,False
Sat Apr 16 20:03:23 2022,11.2,25.6,True,False
Sat Apr 16 20:03:53 2022,11.2,25.6,True,False
Sat Apr 16 20:04:23 2022,11.2,25.6,True,False
Sat Apr 16 20:04:53 2022,11.1,25.6,True,False
Sat Apr 16 20:05:23 2022,11.1,25.7,True,False
Sat Apr 16 20:05:53 2022,11.1,25.7,True,False
Sat Apr 16 20:06:23 2022,11.1,25.7,True,False
Sat Apr 16 20:06:53 2022,11.1,25.7,True,False
Sat Apr 16 20:07:23 2022,11.1,25.7,True,False
Sat Apr 16 20:07:53 2022,11.1,25.7,True,False
Sat Apr 16 20:08:23 2022,11.1,25.7,True,False
Sat Apr 16 20:08:53 2022,11.1,25.8,True,False
Sat Apr 16 20:09:23 2022,11.1,25.8,True,False
Sat Apr 16 20:09:53 2022,11.0,25.8,True,False
Sat Apr 16 20:10:23 2022,11.1,25.8,True,False
Sat Apr 16 20:10:53 2022,11.0,25.8,True,False
Sat Apr 16 20:11:23 2022,11.1,25.8,True,False
Sat Apr 16 20:11:53 2022,11.1,25.8,True,False
Sat Apr 16 20:12:23 2022,11.0,25.8,True,False
Sat Apr 16 20:12:53 2022,11.0,25.8,True,False
Sat Apr 16 20:13:23 2022,11.0,25.8,True,False
Sat Apr 16 20:13:53 2022,11.0,25.8,True,False
Sat Apr 16 20:14:23 2022,11.0,25.9,True,False
Sat Apr 16 20:14:53 2022,11.0,25.9,True,False
Sat Apr 16 20:15:23 2022,11.0,25.9,True,False
Sat Apr 16 20:15:53 2022,11.0,25.9,True,False
Sat Apr 16 20:16:23 2022,11.0,25.9,True,False
Sat Apr 16 20:16:53 2022,11.0,25.9,True,False
Sat Apr 16 20:17:23 2022,11.0,25.9,True,False
Sat Apr 16 20:17:53 2022,11.0,25.9,True,False
Sat Apr 16 20:18:23 2022,11.0,25.9,True,False
Sat Apr 16 20:18:53 2022,11.0,25.9,True,False
Sat Apr 16 20:19:23 2022,11.0,25.9,True,False
Sat Apr 16 20:19:53 2022,11.0,26.0,True,False
Sat Apr 16 20:20:23 2022,11.0,26.0,True,False
Sat Apr 16 20:20:53 2022,10.9,26.0,True,False
Sat Apr 16 20:21:23 2022,11.0,26.0,True,False
Sat Apr 16 20:21:53 2022,11.0,26.0,True,False
Sat Apr 16 20:22:23 2022,10.9,26.0,True,False
Sat Apr 16 20:22:53 2022,11.0,26.0,True,False
Sat Apr 16 20:23:23 2022,11.0,26.0,True,False
Sat Apr 16 20:23:53 2022,11.0,26.0,True,False
Sat Apr 16 20:24:23 2022,11.0,26.1,True,False
Sat Apr 16 20:24:53 2022,10.9,26.1,True,False
Sat Apr 16 20:25:23 2022,10.9,26.1,True,False
Sat Apr 16 20:25:53 2022,10.9,26.1,True,False
Sat Apr 16 20:26:23 2022,10.9,26.1,True,False
Sat Apr 16 20:26:53 2022,10.9,26.1,True,False
Sat Apr 16 20:27:23 2022,10.9,26.1,True,False
Sat Apr 16 20:27:53 2022,10.9,26.1,True,False
Sat Apr 16 20:28:23 2022,10.9,26.1,True,False
Sat Apr 16 20:28:53 2022,10.9,26.1,True,False
Sat Apr 16 20:29:23 2022,10.9,26.1,True,False
