time,temp_1,temp_2,type_of_heating_foil
Wed Dec 22 18:17:05 2021,4.9,-3.7,HD3025G_20W
Wed Dec 22 18:17:08 2021,4.9,-3.7,HD3025G_20W
Wed Dec 22 18:17:10 2021,5.0,-3.7,HD3025G_20W
Wed Dec 22 18:17:12 2021,5.0,-3.7,HD3025G_20W
Wed Dec 22 18:17:15 2021,5.0,-3.7,HD3025G_20W
Wed Dec 22 18:17:17 2021,5.0,-3.7,HD3025G_20W
Wed Dec 22 18:17:20 2021,5.0,-3.7,HD3025G_20W
Wed Dec 22 18:17:22 2021,5.1,-3.7,HD3025G_20W
Wed Dec 22 18:17:24 2021,5.1,-3.7,HD3025G_20W
Wed Dec 22 18:17:27 2021,5.1,-3.7,HD3025G_20W
Wed Dec 22 18:17:29 2021,5.1,-3.7,HD3025G_20W
Wed Dec 22 18:17:31 2021,5.2,-3.7,HD3025G_20W
Wed Dec 22 18:17:33 2021,5.2,-3.7,HD3025G_20W
Wed Dec 22 18:17:36 2021,5.2,-3.7,HD3025G_20W
Wed Dec 22 18:17:39 2021,5.2,-3.7,HD3025G_20W
Wed Dec 22 18:17:41 2021,5.3,-3.7,HD3025G_20W
Wed Dec 22 18:17:43 2021,5.2,-3.7,HD3025G_20W
Wed Dec 22 18:17:45 2021,5.3,-3.7,HD3025G_20W
Wed Dec 22 18:17:47 2021,5.3,-3.7,HD3025G_20W
Wed Dec 22 18:17:50 2021,5.3,-3.7,HD3025G_20W
Wed Dec 22 18:17:52 2021,5.4,-3.7,HD3025G_20W
Wed Dec 22 18:17:55 2021,5.4,-3.7,HD3025G_20W
Wed Dec 22 18:17:57 2021,5.4,-3.7,HD3025G_20W
Wed Dec 22 18:17:59 2021,5.4,-3.7,HD3025G_20W
Wed Dec 22 18:18:01 2021,5.5,-3.7,HD3025G_20W
Wed Dec 22 18:18:03 2021,5.5,-3.7,HD3025G_20W
Wed Dec 22 18:18:06 2021,5.5,-3.7,HD3025G_20W
Wed Dec 22 18:18:08 2021,5.5,-3.7,HD3025G_20W
Wed Dec 22 18:18:11 2021,5.5,-3.7,HD3025G_20W
Wed Dec 22 18:18:13 2021,5.5,-3.7,HD3025G_20W
Wed Dec 22 18:18:15 2021,5.5,-3.7,HD3025G_20W
Wed Dec 22 18:18:18 2021,5.6,-3.7,HD3025G_20W
Wed Dec 22 18:18:21 2021,5.6,-3.7,HD3025G_20W
Wed Dec 22 18:18:23 2021,5.6,-3.7,HD3025G_20W
Wed Dec 22 18:18:25 2021,5.7,-3.7,HD3025G_20W
Wed Dec 22 18:18:27 2021,5.7,-3.7,HD3025G_20W
Wed Dec 22 18:18:30 2021,5.7,-3.7,HD3025G_20W
Wed Dec 22 18:18:32 2021,5.7,-3.7,HD3025G_20W
Wed Dec 22 18:18:35 2021,5.7,-3.7,HD3025G_20W
Wed Dec 22 18:18:38 2021,5.7,-3.7,HD3025G_20W
Wed Dec 22 18:18:40 2021,5.8,-3.7,HD3025G_20W
Wed Dec 22 18:18:42 2021,5.8,-3.7,HD3025G_20W
Wed Dec 22 18:18:44 2021,5.8,-3.7,HD3025G_20W
Wed Dec 22 18:18:47 2021,5.8,-3.7,HD3025G_20W
Wed Dec 22 18:18:49 2021,5.8,-3.7,HD3025G_20W
Wed Dec 22 18:18:52 2021,5.9,-3.7,HD3025G_20W
Wed Dec 22 18:18:54 2021,5.8,-3.7,HD3025G_20W
Wed Dec 22 18:18:56 2021,5.9,-3.7,HD3025G_20W
Wed Dec 22 18:18:58 2021,5.9,-3.7,HD3025G_20W
Wed Dec 22 18:19:00 2021,5.9,-3.7,HD3025G_20W
Wed Dec 22 18:19:04 2021,5.9,-3.7,HD3025G_20W
Wed Dec 22 18:19:07 2021,5.9,-3.7,HD3025G_20W
Wed Dec 22 18:19:09 2021,6.0,-3.7,HD3025G_20W
